dataset,architecture,status,epochs_completed,best_epoch,metric,score,exact_accuracy,retrieval_mean_r1,retrieval_mean_r5,overfit_status,source_run
docvqa,gnn_ocr_knn_graph_encoder,preflight_existing_metrics,30.0,30,anls,0.11539877339869897,0.0809497102262105,0.09790924714638308,0.250460907941398,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\docvqa\gatv2_knn\seed42\val\metrics.json
docvqa,hybrid_v4_multipos_training,preflight_existing_metrics,2.0,1,anls,0.09375,0.09375,0.07670454545454546,0.4318181818181818,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\docvqa\hybrid_gatv2_knn\seed42\val\metrics.json
docvqa,llm_reasoner,preflight_existing_metrics,,1,anls,0.06918794167211052,0.04206393718452047,0.3628533203543518,0.5183433510485964,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\docvqa\ocr_text\seed42\val\metrics.json
docvqa,graphcolbert_film,preflight_existing_metrics,2.0,1,anls,0.0,0.0,0.13920454545454547,0.43323863636363635,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\docvqa\graphcolbert_film\seed42\val\metrics.json
docvqa,hybrid_epoch_view_training,preflight_existing_metrics,2.0,2,anls,0.03125,0.03125,0.07670454545454546,0.35511363636363635,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\docvqa\graph_transformer\seed42\val\metrics.json
docvqa,qwen_vlm_qlora_training,preflight_existing_metrics,,1,anls,0.875,0.5,0.5,1.0,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\docvqa\qwen25_vl_qlora\seed42\val\metrics.json
docvqa,sam_sam2_graph_nodes,preflight_existing_metrics,2.0,2,anls,0.03125,0.03125,0.07670454545454546,0.37073863636363635,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\docvqa\sam2_graph_transformer\seed42\val\metrics.json
docvqa,train_sam_graph_transformer_models,preflight_existing_metrics,2.0,2,anls,0.03125,0.03125,0.07670454545454546,0.37073863636363635,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\docvqa\sam2_graph_transformer\seed42\val\metrics.json
infographicvqa,clip_vqa_baseline,preflight_existing_metrics,6.0,2,anls,0.062347443527484274,0.024277043912888253,0.13090931810067832,0.29305390931810066,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\infographicvqa\clip\seed42\val\metrics.json
infographicvqa,gnn_ocr_knn_graph_encoder,preflight_existing_metrics,12.0,7,anls,0.024694102755509394,0.00785433773652267,0.2091117458050696,0.4299614423420207,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\infographicvqa\gatv2_knn\seed42\val\metrics.json
infographicvqa,hybrid_v4_multipos_training,preflight_existing_metrics,2.0,1,anls,0.0,0.0,0.209375,0.7,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\infographicvqa\hybrid_gatv2_knn\seed42\val\metrics.json
infographicvqa,llm_reasoner,preflight_existing_metrics,,1,anls,0.007319951587755103,0.003570153516601214,0.5680963941449483,0.7521610139235988,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\infographicvqa\ocr_text\seed42\val\metrics.json
infographicvqa,graphcolbert_film,preflight_existing_metrics,2.0,2,anls,0.0,0.0,0.209375,0.7,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\infographicvqa\graphcolbert_film\seed42\val\metrics.json
infographicvqa,hybrid_epoch_view_training,preflight_existing_metrics,28.0,23,anls,0.02449689625698194,0.010710460549803642,0.21957265262406284,0.4319250267761514,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix\infographicvqa\graph_transformer\seed42\val\metrics.json
infographicvqa,qwen_vlm_qlora_training,preflight_existing_metrics,,1,anls,1.0,1.0,1.0,1.0,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\infographicvqa\qwen25_vl_qlora\seed42\val\metrics.json
infographicvqa,sam_sam2_graph_nodes,preflight_existing_metrics,2.0,1,anls,0.0,0.0,0.13125,0.8,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\infographicvqa\sam2_graph_transformer\seed42\val\metrics.json
infographicvqa,train_sam_graph_transformer_models,preflight_existing_metrics,2.0,1,anls,0.0,0.0,0.13125,0.8,no_clear_overfit,C:\Users\Jet\Desktop\data\diagram_vqa\runs\model_matrix_smoke\infographicvqa\sam2_graph_transformer\seed42\val\metrics.json
